strain,name,accession,date,region,location,authors,sample_type,reads_or_assemblies
CW82,Nichols,SRR8501167,2016-XX-XX,Caribbean,cuba,Grillová_2019,clinical acquired,reads
CW83,Nichols,SRR8501166,2015-XX-XX,Caribbean,cuba,Grillová_2019,clinical acquired,reads
CW86,Nichols,SRR8501171,2013-XX-XX,Europe,france,Grillová_2019,clinical acquired,reads
Nichols_v2,Nichols,NC_021490.2,1912-XX-XX,N.America,usa,Pětrošová_2013,rabbit passage,assemblies
PHE120029A,Nichols,ERR3684484,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120033A,Nichols,ERR4045383,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130048A,Nichols,ERR4045394,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140076A,Nichols,ERR4045384,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140085A,Nichols,ERR3684452,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140089A,Nichols,ERR3684486,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150114A,Nichols,ERR3684487,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150118A,Nichols,ERR4045385,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150121A,Nichols,ERR3684453,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150133A,Nichols,ERR3684490,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150143A,Nichols,ERR4045395,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150145A,Nichols,ERR3684454,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150149A,Nichols,ERR3684491,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150150A,Nichols,ERR3684455,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150162A,Nichols,ERR3684492,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150166A,Nichols,ERR3684493,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150168A,Nichols,ERR3684750,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150170A,Nichols,ERR3684494,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160196A,Nichols,ERR3684457,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160224A,Nichols,ERR3684458,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160243A,Nichols,ERR3684459,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160255A,Nichols,ERR3684461,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160263A,Nichols,ERR3684462,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160274A,Nichols,ERR3684464,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160276A,Nichols,ERR4045379,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160283A,Nichols,ERR3684465,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160287A,Nichols,ERR3684467,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160290A,Nichols,ERR4045380,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160294A,Nichols,ERR3684468,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160302A,Nichols,ERR4045377,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160306A,Nichols,ERR4045381,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160316A,Nichols,ERR3684469,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160317A,Nichols,ERR3684470,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170322A,Nichols,ERR3684471,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170333A,Nichols,ERR3684472,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170336B,Nichols,ERR3684473,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170349A,Nichols,ERR3684474,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170372A,Nichols,ERR3684475,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170374A,Nichols,ERR3684476,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170381A,Nichols,ERR3684477,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170386A,Nichols,ERR3684478,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170397A,Nichols,ERR3684516,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170401A,Nichols,ERR4045391,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170405A,Nichols,ERR3684479,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170664A,Nichols,ERR4045393,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_AUSBR-41,Nichols,ERR5207020,2019-XX-XX,Oceania,australia,Beale_2021,Clinical_Swab,reads
TPA_AUSMELT-1,Nichols,SRR13721290,1977-XX-XX,Oceania,australia,Beale_2021,rabbit_passage4,reads
TPA_BCC012,Nichols,ERR4993351,2002-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC081,Nichols,ERR4853530,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC088,Nichols,ERR4993354,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC089,Nichols,ERR4853536,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC101,Nichols,ERR4853531,2014-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC122,Nichols,ERR4853566,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC126,Nichols,ERR4853539,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC136,Nichols,ERR4853540,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC142,Nichols,ERR4853542,2016-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC169,Nichols,ERR4853546,2017-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_EIR015,Nichols,ERR4993349,2018-XX-XX,Europe,ireland,Beale_2021,Clinical_Swab,reads
TPA_ESBCN005,Nichols,ERR4899206,2015-XX-XX,Europe,spain,Beale_2021,Clinical_Swab,reads
TPA_HUN180004,Nichols,ERR5210563,2018-XX-XX,Europe,hungary,Beale_2021,Clinical_Swab,reads
TPA_HUN190020,Nichols,ERR5207017,2019-XX-XX,Europe,hungary,Beale_2021,Clinical_Swab,reads
TPA_OMI021,Nichols,ERR4899217,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_SA006,Nichols,ERR4899215,2006-XX-XX,Africa,south africa,Beale_2021,Clinical_Swab,reads
TPA_UKBIR028,Nichols,ERR4899209,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBIR032,Nichols,ERR4853613,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBIR044,Nichols,ERR4899210,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBRG007,Nichols,ERR4853603,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBRG008,Nichols,ERR4993362,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_USL-BAL-6,Nichols,ERR4853568,1950-1980-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-BAL-7,Nichols,ERR4993357,1976-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-BAL-8,Nichols,ERR4899245,1960-1980-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-Haiti-B,Nichols,ERR4853572,1951-XX-XX,Caribbean,haiti,Beale_2021,rabbit inoculation,reads
TPA_USL-Phil-3,Nichols,ERR4853573,1987-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-SEA-83-1,Nichols,ERR4853569,1983-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-SEA-83-2,Nichols,ERR4853570,1983-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-SEA-86-1,Nichols,ERR4853571,1986-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_ZIM010,Nichols,ERR4899238,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM014,Nichols,ERR4853621,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM015,Nichols,ERR4899214,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM016,Nichols,ERR4853622,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM018,Nichols,ERR4853623,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM020,Nichols,ERR4899239,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
UW202B,Nichols,ERR3061032,2003-XX-XX,N.America,usa,Beale_2021,low_rabbit_passage,reads
Seattle_Nichols,Nichols,NZ_CP010422.1,1912-XX-XX,N.America,usa,unpublished-Giacani,rabbit inoculation,assemblies
