strain,name,accession,date,region,location,authors,sample_type,reads_or_assemblies
UW397B,SS14,ERR2756181,2006-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW411B,SS14,ERR2756191,2006-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW473B,SS14,ERR2756184,2006-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW492B,SS14,ERR2756216,2006-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW526B,SS14,ERR2756220,2007-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW823B,SS14,ERR2756179,2011-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW824B,SS14,ERR2756170,2011-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
UW852B,SS14,ERR2756204,2011-XX-XX,N.America,usa,Beale_2019_Global_TPA,low_rabbit_passage,reads
SMUTp_01,SS14,SRR10041775,2018-XX-XX,Asia,china,Chen_2020,rabbit_passage,reads
SMUTp_02,SS14,SRR10041774,2017-XX-XX,Asia,china,Chen_2020,rabbit_passage,reads
SMUTp_04,SS14,SRR10041772,2018-XX-XX,Asia,china,Chen_2020,Clinical_Swab,reads
SMUTp_08,SS14,SRR10041768,2018-XX-XX,Asia,china,Chen_2020,Clinical_Swab,reads
SMUTp_09,SS14,SRR10041767,2018-XX-XX,Asia,china,Chen_2020,Clinical_Swab,reads
CW30,SS14,SRR8501163,2014-XX-XX,Europe,czech republic,Grillová_2019,clinical acquired,reads
CW56,SS14,SRR8501162,2013-XX-XX,Caribbean,cuba,Grillová_2019,clinical acquired,reads
CW84,SS14,SRR8501169,2015-XX-XX,Europe,france,Grillová_2019,clinical acquired,reads
CW85,SS14,SRR8501168,2016-XX-XX,Europe,france,Grillová_2019,clinical acquired,reads
CW87,SS14,SRR8501170,2016-XX-XX,Europe,france,Grillová_2019,clinical acquired,reads
CW88,SS14,SRR8501161,2017-XX-XX,Europe,czech republic,Grillová_2019,clinical acquired,reads
SS14_v2,SS14,NC_021508.1,1977-XX-XX,N.America,usa,Pětrošová_2013,rabbit passage,assemblies
PT_SIF0697,SS14,SRR3571774,2009-XX-XX,Europe,portugal,Pinto_2016,Clinical_Swab,reads
PT_SIF0857,SS14,SRR3584965,2010-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF0877_3,SS14,SRR3571775,2010-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF0954,SS14,SRR3571778,2010-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1002,SS14,SRR3571783,2011-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1020,SS14,SRR3571785,2011-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1063,SS14,SRR3571786,2012-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1142,SS14,SRR3584839,2013-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1156,SS14,SRR3584840,2013-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1167,SS14,SRR3584841,2013-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1183,SS14,SRR3584842,2013-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1196,SS14,SRR3584843,2013-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1200,SS14,SRR3584844,2013-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1242,SS14,SRR3584845,2014-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1252,SS14,SRR3584871,2014-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1261,SS14,SRR3584875,2014-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1278,SS14,SRR3584879,2014-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1280,SS14,SRR3584882,2014-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
PT_SIF1299,SS14,SRR3584884,2014-XX-XX,Europe,portugal,Pinto_2016,clinical acquired,reads
B3,SS14,SRR2996728,2015-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
C3,SS14,SRR2996729,2015-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
K3,SS14,SRR2996730,2015-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
Q3,SS14,SRR2996732,2015-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
SHC_0,SS14,SRR2996724,2014-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
SHD_R,SS14,SRR2996725,2014-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
SHE_V,SS14,SRR2996726,2014-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
SHG_I2,SS14,SRR2996727,2014-XX-XX,Asia,china,Sun_2016,low rabbit passage,reads
Mexico_A-mcf,SS14,ERR5210584,1953-XX-XX,N.America,mexico,Beale_2021,rabbit inoculation,reads
NL12,SS14,ERR2710613,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120001A,SS14,ERR3684609,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120002A,SS14,ERR3811624,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120003A,SS14,ERR3684739,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120006A,SS14,ERR3684610,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120007A,SS14,ERR3684564,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120008A,SS14,ERR3699556,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120009B,SS14,ERR3684519,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120011A,SS14,ERR3684482,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120012A,SS14,ERR3699557,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120013A,SS14,ERR3684565,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120014A,SS14,ERR3684694,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120016A,SS14,ERR3684695,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120019A,SS14,ERR3684566,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120021A,SS14,ERR3684520,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120022A,SS14,ERR3684567,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120023A,SS14,ERR3684740,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120024A,SS14,ERR3684521,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120025A,SS14,ERR3684652,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120027A,SS14,ERR3684653,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120028A,SS14,ERR3684654,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120030A,SS14,ERR3684741,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120032A,SS14,ERR3684696,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120034A,SS14,ERR3684697,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130036A,SS14,ERR3684568,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130038A,SS14,ERR3684655,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130039A,SS14,ERR3684522,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130040A,SS14,ERR3684450,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130041A,SS14,ERR3684656,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130043A,SS14,ERR3684485,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130045A,SS14,ERR3684523,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130046A,SS14,ERR3684657,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130047A,SS14,ERR3684569,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130049A,SS14,ERR3684658,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130050A,SS14,ERR3684659,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130051A,SS14,ERR3811625,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130052A,SS14,ERR3684451,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130053A,SS14,ERR3684613,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130054A,SS14,ERR3684571,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130056A,SS14,ERR3684572,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130057B,SS14,ERR3699560,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130060A,SS14,ERR3684698,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130061A,SS14,ERR3699561,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130062A,SS14,ERR3811626,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130063A,SS14,ERR3684742,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130064A,SS14,ERR3684524,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140065A,SS14,ERR3699562,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140066A,SS14,ERR3684743,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140067A,SS14,ERR3811627,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140072A,SS14,ERR3811628,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140073A,SS14,ERR3684573,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140074A,SS14,ERR3684525,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140075A,SS14,ERR3699563,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140077A,SS14,ERR3684744,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140078A,SS14,ERR3699564,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140079A,SS14,ERR3684699,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140081A,SS14,ERR3684660,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140083A,SS14,ERR3684661,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140084A,SS14,ERR3684700,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140090A,SS14,ERR3684745,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140091A,SS14,ERR3811629,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140093A,SS14,ERR3684615,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140094A,SS14,ERR3811630,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140095A,SS14,ERR3684526,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140100A,SS14,ERR3699566,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140101A,SS14,ERR3699567,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140102A,SS14,ERR3699568,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140104A,SS14,ERR3699569,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140105A,SS14,ERR3684702,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140441A,SS14,ERR3684769,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150110A,SS14,ERR3684528,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150113A,SS14,ERR3684616,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150119A,SS14,ERR3684618,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150122A,SS14,ERR3684619,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150123A,SS14,ERR3684703,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150125A,SS14,ERR3684746,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150126A,SS14,ERR3684489,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150128A,SS14,ERR3684704,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150129A,SS14,ERR3811631,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150130A,SS14,ERR3684574,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150131A,SS14,ERR3684575,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150132A,SS14,ERR3684747,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150136A,SS14,ERR3699570,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150137A,SS14,ERR3684576,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150138A,SS14,ERR3684577,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150140A,SS14,ERR3699571,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150142A,SS14,ERR3684705,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150148A,SS14,ERR3684530,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150151A,SS14,ERR3684748,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150153A,SS14,ERR3684580,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150154A,SS14,ERR3684581,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150155A,SS14,ERR3684665,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150158A,SS14,ERR3684749,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150159A,SS14,ERR3684666,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150160A,SS14,ERR3684582,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150161A,SS14,ERR3684620,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150163A,SS14,ERR3684583,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150164A,SS14,ERR3684706,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150167A,SS14,ERR3699572,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150169A,SS14,ERR3699573,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150172A,SS14,ERR3684751,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150173A,SS14,ERR3684667,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150174A,SS14,ERR3684752,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150175A,SS14,ERR3684622,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150177A,SS14,ERR3684531,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150178A,SS14,ERR3684707,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150179A,SS14,ERR3684708,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150183A,SS14,ERR3811632,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160184A,SS14,ERR3684669,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160185A,SS14,ERR3811633,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160186A,SS14,ERR3811634,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160189A,SS14,ERR3684623,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160190A,SS14,ERR3684456,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160191A,SS14,ERR3699574,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160192A,SS14,ERR3684753,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160197A,SS14,ERR3684584,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160198A,SS14,ERR3684533,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160199A,SS14,ERR3684624,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160200A,SS14,ERR3684709,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160202A,SS14,ERR3699576,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160203A,SS14,ERR3684495,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160205A,SS14,ERR3684754,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160207A,SS14,ERR3811635,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160210A,SS14,ERR3684670,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160211A,SS14,ERR3684534,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160214A,SS14,ERR3684497,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160215A,SS14,ERR3684585,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160216A,SS14,ERR3684671,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160217A,SS14,ERR3684535,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160218A,SS14,ERR3684710,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160219A,SS14,ERR3811636,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160222A,SS14,ERR3684672,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160225A,SS14,ERR3684711,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160227A,SS14,ERR3684673,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160232A,SS14,ERR3684674,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160234A,SS14,ERR3684587,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160237A,SS14,ERR3684712,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160238A,SS14,ERR3684626,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160239A,SS14,ERR3684537,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160240A,SS14,ERR3684498,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160242A,SS14,ERR3684713,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160245A,SS14,ERR3684628,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160246A,SS14,ERR4045386,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160247A,SS14,ERR3684588,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160248A,SS14,ERR3684630,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160249A,SS14,ERR3684460,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
